證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"5215","科嘉-KY","90,070","2,869,043","32.15","32.15","31.60","32.05","+0.05","57"
"5225","東科-KY","86,000","2,683,850","31.05","31.70","30.90","31.00","-0.05","55"
"5234","達興材料","294,615","24,945,275","85.60","85.70","84.00","84.70","-0.80","250"
"5243","乙盛-KY","170,000","5,998,750","35.85","35.90","35.10","35.20","-0.10","122"
"5258","虹堡","154,000","2,870,500","18.60","18.85","18.50","18.50","-0.05","109"
"5264","鎧勝-KY","1,004,300","38,720,794","37.50","39.40","37.50","38.45","+0.35","638"
"5269","祥碩","946,113","433,560,367","489.00","492.00","442.00","451.00","-38.00","882"
"5284","jpp-KY","4,000","223,100","55.80","55.80","55.70","55.70","+0.40","4"
"5285","界霖","75,020","4,763,576","64.50","64.70","63.00","63.60","-0.70","58"
"5288","豐祥-KY","466,010","65,168,920","142.00","142.00","138.00","142.00"," 0.00","329"
"5305","敦南","273,312","8,398,578","31.00","31.10","30.35","30.70","+0.10","194"
"5388","中磊","897,990","56,354,171","63.20","63.50","62.30","62.50","-0.70","620"
"5434","崇越","444,701","37,258,184","85.00","85.00","83.20","84.00","+0.10","357"
"5469","瀚宇博","6,063,400","178,191,368","29.45","29.95","28.80","28.80","-0.50","2,871"
"5471","松翰","155,305","4,655,064","30.05","30.10","29.90","29.95","-0.10","110"
"5484","慧友","54,008","226,842","4.20","4.26","4.17","4.17","-0.08","24"
"5515","建國","210,001","2,111,660","10.10","10.15","10.00","10.15","+0.05","59"
"5519","隆大","2,805,102","45,975,872","16.35","16.55","16.20","16.50","+0.40","1,033"
"5521","工信","375,050","2,684,168","7.20","7.20","7.13","7.17","-0.02","120"
"5522","遠雄","768,777","28,609,735","37.15","37.45","36.80","37.40","-0.05","534"
"5525","順天","137,585","3,625,393","26.40","26.55","26.20","26.40"," 0.00","106"
"5531","鄉林","267,567","2,577,110","9.70","9.70","9.58","9.68","-0.02","126"
"5533","皇鼎","56,812","916,242","16.15","16.20","16.10","16.10","-0.15","22"
"5534","長虹","452,954","38,553,300","85.00","85.90","84.30","85.10","+0.80","330"
"5538","東明-KY","1,000","35,450","35.45","35.45","35.45","35.45","-0.55","1"
"5607","遠雄港","1,151,003","22,177,957","19.15","19.65","18.85","19.30","+0.05","541"
"5608","四維航","481,583","4,039,537","8.64","8.64","8.31","8.31","-0.33","210"
"5706","鳳凰","28,300","1,034,682","36.60","36.60","36.50","36.60"," 0.00","19"
"5871","中租-KY","1,636,909","188,322,444","115.00","116.00","114.00","115.00","+0.50","1,252"
"5876","上海商銀","13,937,035","733,195,821","51.40","53.60","51.30","52.60","+1.50","5,405"
"5880","合庫金","15,993,367","315,959,765","19.65","19.85","19.65","19.75","+0.10","3,236"
"5906","台南-KY","41,090","524,602","12.80","12.85","12.70","12.85","+0.15","20"
"5907","大洋-KY","806,353","25,837,859","31.85","32.35","31.65","31.65"," 0.00","513"
"6005","群益證","1,487,740","13,602,550","9.15","9.16","9.12","9.13","-0.01","437"
"6024","群益期","161,081","7,345,905","45.85","45.85","45.50","45.70"," 0.00","127"
"6108","競國","309,323","9,026,897","29.50","29.65","28.95","29.10","-0.25","207"
"6112","聚碩","147,376","5,265,466","35.65","35.90","35.65","35.70","-0.20","104"
"6115","鎰勝","36,440","1,562,789","42.90","43.00","42.70","42.90"," 0.00","29"
"6116","彩晶","12,974,300","89,242,781","6.90","6.97","6.82","6.82","-0.04","3,066"
"6117","迎廣","1,000","14,100","14.10","14.10","14.10","14.10"," 0.00","1"
"6120","達運","1,091,618","19,171,152","17.90","17.90","17.30","17.30","-0.10","532"
"6128","上福","39,377","1,373,531","35.00","35.00","34.70","35.00","+0.30","28"
"6131","悠克","425,453","1,142,367","2.59","2.71","2.59","2.60","+0.04","53"
"6133","金橋","125,001","1,074,588","8.58","8.61","8.56","8.61","+0.05","39"
"6136","富爾特","63,593","1,277,747","20.00","20.20","20.00","20.10","+0.10","49"
"6139","亞翔","428,438","11,947,503","28.30","28.45","27.60","27.65","-0.65","275"
"6141","柏承","1,075,264","20,329,639","19.25","19.40","18.60","18.90","-0.25","520"
"6142","友勁","482,240","3,865,078","8.04","8.18","7.96","7.96","-0.19","129"
"6152","百一","88,002","400,888","4.56","4.57","4.54","4.54","-0.02","33"
"6153","嘉聯益","9,926,304","276,925,612","28.70","29.05","27.20","27.30","-1.45","4,913"
"6155","鈞寶","163,045","3,243,509","20.00","20.25","19.65","19.75","-0.25","111"
"6164","華興","213,201","1,696,639","7.99","7.99","7.81","7.94","-0.01","46"
"6165","捷泰","56,052","441,964","7.90","7.94","7.71","7.91","-0.03","25"
"6166","凌華","80,090","3,101,260","38.80","39.50","38.35","38.70","-0.10","67"
"6168","宏齊","349,768","4,893,310","14.00","14.10","13.90","13.95","+0.05","168"
"6172","互億","103,306","1,703,649","16.60","16.70","16.30","16.50","-0.10","57"
"6176","瑞儀","2,149,379","217,021,065","99.90","102.00","99.90","101.00","+1.80","1,450"
"6177","達麗","234,266","7,076,655","30.25","30.45","30.05","30.15","-0.05","145"
"6183","關貿","73,584","2,504,191","34.05","34.15","33.95","34.15","+0.10","63"
"6184","大豐電","49,677","1,859,567","37.40","37.55","37.20","37.45","+0.05","42"
"6189","豐藝","246,563","8,092,467","32.80","32.90","32.75","32.80","-0.10","121"
"6191","精成科","1,900,102","27,569,127","14.70","14.75","14.30","14.50"," 0.00","773"
"6192","巨路","267,551","19,790,339","76.50","76.50","72.80","73.50","-2.00","237"
"6196","帆宣","195,530","9,508,886","48.60","49.65","48.35","48.65","-0.10","162"
"6197","佳必琪","141,500","4,095,700","29.15","29.15","28.85","28.90","-0.30","111"
"6201","亞弘電","90,220","3,122,100","34.60","34.80","34.60","34.80","+0.20","13"
